ID,text,label
TRAIN_000,"대학생, 자연과학 전공. 하루 2.0시간 학습. 4학기. 수강반 1,4. 체계적인 커리큘럼 때문에. 프로젝트 경험. 자격증: 컴퓨터활용능력. 희망: C. 데이터 사이언티스트. 팀 프로젝트. 다양한 사람들과 만나서 생각을 교류할 수 있기 때문. 관심: 구글 딥마인드.",0
TRAIN_001,"대학생, 사회과학 전공. 하루 3.0시간 학습. 6학기. 수강반 8. 체계적인 커리큘럼 때문에. 데이터 분석 역량. 자격증 없음. 희망: B. 데이터 분석가. 팀 프로젝트. 더 많은 사람들이 있으면 제가 예상하지 못한 질문도 할 수 있다고 생각하기 때문입니다.. 관심: 제일 기획.",0
TRAIN_002,"대학생, 예체능 전공. 하루 10.0시간 학습. 8학기. 수강반 7. 현직자 강연, 공모전 등 혜택 때문에. 공모전 경험. 자격증: ADsP. 희망: B. 데이터 분석가. 개인 프로젝트. 인원이 너무 적으면 서로 부담스러울 수 있을 것 같지만 너무 많으면 너무 피상적인 강의가 . 관심: Lg전자.",0
TRAIN_003,"대학생, 법학 전공. 하루 2.0시간 학습. 8학기. 수강반 7. 혼자 공부하기 어려워서. 프로젝트 경험. 자격증: SQLD, 정보처리기사. 희망: B. 데이터 분석가. 팀 프로젝트. 너무 많은 인원이 강의하면 루즈해질 것 같아서. 관심: 네이버.",1
TRAIN_004,"대학생, IT (컴퓨터 공학 포함) 전공. 하루 2.0시간 학습. 7학기. 수강반 8. 체계적인 커리큘럼 때문에. 공모전 경험. 자격증: ADsP. 희망: B. 데이터 분석가. 팀 프로젝트. 다양한 사람들에게 기회가 있으면 좋겠습니다.. 관심: 네이버.",0
TRAIN_005,"대학생, 경영학 전공. 하루 1.0시간 학습. 6학기. 수강반 1. 체계적인 커리큘럼 때문에. 데이터 분석 역량. 자격증 없음. 희망: B. 데이터 분석가. 팀 프로젝트. 그래야 직접 들을 확률이 높아져서. 관심: 삼성.",0
TRAIN_006,"대학생, 사회과학 전공. 하루 2.0시간 학습. 6학기. 수강반 1. 혼자 공부하기 어려워서. 데이터 분석 역량. 자격증: 구글 애널리스트. 희망: B. 데이터 분석가. 팀 프로젝트. 인원이 너무 많으면 집중하기 어렵기 때문이다.",0
TRAIN_007,"직장인, 경영학 전공. 하루 2.0시간 학습. 8학기. 수강반 4,6. 혼자 공부하기 어려워서. 데이터 분석 역량. 자격증 없음. 희망: A. 데이터 엔지니어. 개인 프로젝트. 더 집중해서 강의를 들을 수 있고 세부적인 질문도 가능할 것 같아서 10명 내외로 선택하였. 관심: 쏘카.",0
TRAIN_008,"대학생, 사회과학 전공. 하루 2.0시간 학습. 6학기. 수강반 1,5. 현직자 강연, 공모전 등 혜택 때문에. 데이터 분석 역량. 자격증 없음. 희망: B. 데이터 분석가. 팀 프로젝트. 리스너들과도 적당히 소통할 수 있으면서 현직자의 강의에 집중할 수 있어서. 관심: 아모레퍼시픽.",1
TRAIN_009,"대학생, IT (컴퓨터 공학 포함) 전공. 하루 5.0시간 학습. 2학기. 재등록. 수강반 2. 이전 기수 만족해서 재등록. 데이터 분석 역량. 자격증 없음. 희망: B. 데이터 분석가. 팀 프로젝트. 인원이 적어야 프로젝트성 그룹 같은경우는 집중할수있을것같다. 관심: 네이버.",0
TRAIN_010,"대학생, 경영학 전공. 하루 2.0시간 학습. 8학기. 재등록. 수강반 5. 이전 기수 만족해서 재등록. 데이터 분석 역량. 자격증 없음. 희망: G. PM/서비스 기획자. 팀 프로젝트. 인원이 많을수록 관심 있는 분야에 대한 다른 사람들의 관점을 배우기 좋음. 관심: 아이디어스.",0
